restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,,
Rangalaya Royal,Pineapple pasta salad,,90,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,,,
Rangalaya Royal,Caesar salad,,110,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,,,
Rangalaya Royal,Kaju mushroom,,180,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,,,
Rangalaya Royal,Gobi vepudu ,,130,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,,,
Rangalaya Royal,Kakinada Babycorn,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,,,
Rangalaya Royal,Gobi flame,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,,,
Rangalaya Royal,Corn Cheese Balls,,160,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,,,
Rangalaya Royal,Chilli paneer,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
Rangalaya Royal,Manchurian – paneer,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
Rangalaya Royal,Manchurian – mushroom,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
Rangalaya Royal,Chilli gobi,,130,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
Rangalaya Royal,Dragon gobi,,130,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
Rangalaya Royal,Gobi Manchurian,,130,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
Rangalaya Royal,Corn dragon rolls ,,130,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
Rangalaya Royal,Paneer tikka,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
Rangalaya Royal,Mutton roast,,240,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Keerannur kozhi varuval,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Masala fried fish,,260,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Kodi 555,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Telangana kodi vepudu,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Chicken Tikka,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Pallipalayam chicken,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Tangri Kebab,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Tandoori murgh – half,,220,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,,
Rangalaya Royal,Tandoori murgh –  full,,390,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,,
Rangalaya Royal,Chicken - dragon,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Drums of heaven,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Crispy fried chicken,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Mongolian chicken ,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Shredded chicken bell pepper ,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Chilli fish,,240,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Prawn Manchurian,,240,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Prawn pepper salt ,,260,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Mongolian prawns,,260,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,,,
Rangalaya Royal,Vegetarian From The South,,,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Babycorn khurma,,150,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Paneer khurchan,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Paneer butter masala,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Kumbh hara pyaz,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Kaju masala,,180,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Mutter palak,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Kashmiri Gobi tikka masala,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Tawa subzi masala,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Dum aloo Amritsar,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Subzi begam bahar,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Corn capsicum masala,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Makkai hariyali,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Dal makhani,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Dal tadka,,130,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,,,
Rangalaya Royal,Pudina Roti,,35,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Methi Roti,,35,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Pyaz Roti,,35,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Plain Naan,,45,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Plain Kulcha,,45,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Stuffed Naan,,45,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Paneer Naan,,45,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Kashmiri Naan,,60,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Butter Naan,,60,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Stuffed Kulcha,,60,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Paneer Kulcha,,60,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Kashmiri Kulcha,,60,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Butter Kulcha,,60,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Stuffed Paratha,,60,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Paneer Paratha,,60,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Masala Paratha,,60,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Butter Paratha,,45,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,South Indian Paratha(2 no’s),,70,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Bread,,0,,,
Rangalaya Royal,Mushroom with ginger garlic sauce,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Saucy Veg ,,0,,,
Rangalaya Royal,Hill garden vegetable szechuan sauce,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Saucy Veg ,,0,,,
Rangalaya Royal,Baby corn with garlic sauce,,150,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Saucy Veg ,,0,,,
Rangalaya Royal,Veg balls with manchurian sauce,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Saucy Veg ,,0,,,
Rangalaya Royal,Treasure vegetable,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Saucy Veg ,,0,,,
Rangalaya Royal,Andhra kodi kura,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Kodi-pudina,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Karivepaku kodi,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Gongura mutton curry,,240,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Royyala iguru curry,,260,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Fish tikka masala (25 Minutes),,270,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Murgh Jhalfrezi,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Kadai chicken,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Diwani hundi murgh,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Tawa murgh masala,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Murgh lagan ki tangdi,,220,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Murgh tikka mussallam ,,220,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Mutton Rogan josh,,240,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Gosht kalia,,240,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,From the South,,0,,,
Rangalaya Royal,Chicken with Hong Kong sauce,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Saucy Non Veg,,0,,,
Rangalaya Royal,Chicken Manchurian,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Saucy Non Veg,,0,,,
Rangalaya Royal,Pepper wrapped chicken,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Saucy Non Veg,,0,,,
Rangalaya Royal,Chicken with Hunan sauce,,190,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Saucy Non Veg,,0,,,
Rangalaya Royal,Prawns with Szechuan sauce ,,260,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Saucy Non Veg,,0,,,
Rangalaya Royal,Curd rice,,,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Ethnic rice - gongura,,130,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Avakkai rice,,130,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Pulao - cashew,,150,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Pulao jeera,,150,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Pulao veg,,150,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Szechuan veg fried rice,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Veg fried rice,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Singapore veg noodles,,150,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,,
Rangalaya Royal,Szechuan veg Noodles,,150,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,,
Rangalaya Royal,Hakka veg noodles,,150,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,,
Rangalaya Royal,Veg noodles,,150,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,,
Rangalaya Royal,Nasi goring,,160,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,,
Rangalaya Royal,Egg fried rice,,150,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Chicken fried rice,,150,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Prawn fried rice,,150,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Fried rice --mixed  (Non-Veg),,160,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rice,,0,,,
Rangalaya Royal,Prawm Noodles,,170,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,,
Rangalaya Royal,Mee goring,,170,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,,
Rangalaya Royal,Chicken Noodles,,160,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,,
Rangalaya Royal,Egg Noodles,,150,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
